agency_id,agency_name,ntd_id,date,metric,value,source,ntd_value,variance_pct,flag,is_provisional,last_updated
ace,Altamont Corridor Express,90182,2002-01-01,upt,76563,NTD,76563.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-02-01,upt,69602,NTD,69602.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-03-01,upt,73082,NTD,73082.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-04-01,upt,76563,NTD,76563.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-05-01,upt,0,NTD,0.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-06-01,upt,0,NTD,0.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-07-01,upt,0,NTD,0.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-08-01,upt,0,NTD,0.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-09-01,upt,0,NTD,0.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-10-01,upt,0,NTD,0.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-11-01,upt,0,NTD,0.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2002-12-01,upt,0,NTD,0.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-01-01,upt,57226,NTD,57226.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-02-01,upt,48930,NTD,48930.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-03-01,upt,54296,NTD,54296.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-04-01,upt,52432,NTD,52432.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-05-01,upt,50046,NTD,50046.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-06-01,upt,48634,NTD,48634.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-07-01,upt,50482,NTD,50482.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-08-01,upt,48585,NTD,48585.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-09-01,upt,52767,NTD,52767.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-10-01,upt,56008,NTD,56008.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-11-01,upt,44113,NTD,44113.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2003-12-01,upt,43418,NTD,43418.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-01-01,upt,50890,NTD,50890.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-02-01,upt,47842,NTD,47842.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-03-01,upt,58899,NTD,58899.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-04-01,upt,54007,NTD,54007.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-05-01,upt,52727,NTD,52727.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-06-01,upt,56224,NTD,56224.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-07-01,upt,51164,NTD,51164.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-08-01,upt,56864,NTD,56864.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-09-01,upt,56565,NTD,56565.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-10-01,upt,57750,NTD,57750.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-11-01,upt,54686,NTD,54686.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2004-12-01,upt,47156,NTD,47156.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2006-01-01,upt,54465,NTD,54465.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2006-02-01,upt,49341,NTD,49341.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2006-03-01,upt,57303,NTD,57303.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2006-04-01,upt,49377,NTD,49377.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2006-05-01,upt,62079,NTD,62079.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2006-06-01,upt,65934,NTD,65934.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2006-07-01,upt,49693,NTD,49693.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2006-08-01,upt,65051,NTD,65051.0,,,False,2026-06-09T16:26:21Z
ace,Altamont Corridor Express,90182,2006-09-01,upt,57018,NTD,57018.0,,,False,2026-06-09T16:26:21Z
