agency_id,agency_name,ntd_id,date,metric,value,source,ntd_value,variance_pct,flag,is_provisional,last_updated
alamedaferry,Alameda Ferry,90150,2002-01-01,upt,37192,NTD,37192.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-02-01,upt,31382,NTD,31382.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-03-01,upt,40118,NTD,40118.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-04-01,upt,48065,NTD,48065.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-05-01,upt,52829,NTD,52829.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-06-01,upt,57458,NTD,57458.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-07-01,upt,65885,NTD,65885.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-08-01,upt,64763,NTD,64763.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-09-01,upt,58067,NTD,58067.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-10-01,upt,49166,NTD,49166.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-11-01,upt,32327,NTD,32327.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2002-12-01,upt,26059,NTD,26059.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-01-01,upt,37192,NTD,37192.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-02-01,upt,31382,NTD,31382.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-03-01,upt,40118,NTD,40118.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-04-01,upt,48065,NTD,48065.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-05-01,upt,52829,NTD,52829.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-06-01,upt,57458,NTD,57458.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-07-01,upt,65885,NTD,65885.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-08-01,upt,64763,NTD,64763.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-09-01,upt,58067,NTD,58067.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-10-01,upt,49166,NTD,49166.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-11-01,upt,32327,NTD,32327.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2003-12-01,upt,26059,NTD,26059.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-01-01,upt,32735,NTD,32735.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-02-01,upt,31391,NTD,31391.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-03-01,upt,41800,NTD,41800.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-04-01,upt,42306,NTD,42306.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-05-01,upt,45589,NTD,45589.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-06-01,upt,31847,NTD,31847.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-07-01,upt,65457,NTD,65457.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-08-01,upt,67732,NTD,67732.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-09-01,upt,54324,NTD,54324.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-10-01,upt,51835,NTD,51835.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-11-01,upt,47824,NTD,47824.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2007-12-01,upt,64546,NTD,64546.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-01-01,upt,26288,NTD,26288.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-02-01,upt,24321,NTD,24321.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-03-01,upt,32478,NTD,32478.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-04-01,upt,73597,NTD,73597.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-05-01,upt,74021,NTD,74021.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-06-01,upt,83874,NTD,83874.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-07-01,upt,92597,NTD,92597.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-08-01,upt,93298,NTD,93298.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-09-01,upt,74000,NTD,74000.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-10-01,upt,0,NTD,0.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-11-01,upt,0,NTD,0.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2008-12-01,upt,0,NTD,0.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2009-01-01,upt,35477,NTD,35477.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2009-02-01,upt,27540,NTD,27540.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2009-03-01,upt,36762,NTD,36762.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2009-04-01,upt,61941,NTD,61941.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2009-05-01,upt,47164,NTD,47164.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2009-06-01,upt,48471,NTD,48471.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2009-07-01,upt,49768,NTD,49768.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2009-08-01,upt,46908,NTD,46908.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2009-09-01,upt,43741,NTD,43741.0,,,False,2026-06-29T17:27:11Z
alamedaferry,Alameda Ferry,90150,2009-10-01,upt,61375,NTD,61375.0,,,False,2026-06-29T17:27:11Z
