date,agency_name,value,source
2002-01-01,AC Transit,5467321,NTD
2002-02-01,AC Transit,5382355,NTD
2002-03-01,AC Transit,5771795,NTD
2002-04-01,AC Transit,6008998,NTD
2002-05-01,AC Transit,6093964,NTD
2002-06-01,AC Transit,5732226,NTD
2002-07-01,AC Transit,6093964,NTD
2002-08-01,AC Transit,6121665,NTD
2002-09-01,AC Transit,5619558,NTD
2002-10-01,AC Transit,6246201,NTD
2002-11-01,AC Transit,5579988,NTD
2002-12-01,AC Transit,5941727,NTD
2003-01-01,AC Transit,6068898,NTD
2003-02-01,AC Transit,5386932,NTD
2003-03-01,AC Transit,5824377,NTD
2003-04-01,AC Transit,5841576,NTD
2003-05-01,AC Transit,5957139,NTD
2003-06-01,AC Transit,5708814,NTD
2003-07-01,AC Transit,6068898,NTD
2003-08-01,AC Transit,5824377,NTD
2003-09-01,AC Transit,5841576,NTD
2003-10-01,AC Transit,6068898,NTD
2003-11-01,AC Transit,5597055,NTD
2003-12-01,AC Transit,6068898,NTD
2004-01-01,AC Transit,5191082,NTD
2004-02-01,AC Transit,5191082,NTD
2004-03-01,AC Transit,5191082,NTD
2004-04-01,AC Transit,5191082,NTD
2004-05-01,AC Transit,5191082,NTD
2004-06-01,AC Transit,5191082,NTD
2004-07-01,AC Transit,5191082,NTD
2004-08-01,AC Transit,5191082,NTD
2004-09-01,AC Transit,4986378,NTD
2004-10-01,AC Transit,4986378,NTD
2004-11-01,AC Transit,4986378,NTD
2004-12-01,AC Transit,4986378,NTD
2005-01-01,AC Transit,5302346,NTD
2005-02-01,AC Transit,4890809,NTD
2005-03-01,AC Transit,5645572,NTD
2005-04-01,AC Transit,5338400,NTD
2005-05-01,AC Transit,5399022,NTD
2005-06-01,AC Transit,5435076,NTD
2005-07-01,AC Transit,5302346,NTD
2005-08-01,AC Transit,5645572,NTD
2005-09-01,AC Transit,5311801,NTD
2005-10-01,AC Transit,5425621,NTD
2005-11-01,AC Transit,5188526,NTD
2005-12-01,AC Transit,5548896,NTD
2006-01-01,AC Transit,5434907,NTD
2006-02-01,AC Transit,5070157,NTD
2006-03-01,AC Transit,5943368,NTD
2006-04-01,AC Transit,5401190,NTD
2006-05-01,AC Transit,5750353,NTD
2006-06-01,AC Transit,5681344,NTD
2006-07-01,AC Transit,5470199,NTD
2006-08-01,AC Transit,5908076,NTD
2006-09-01,AC Transit,5401190,NTD
2006-10-01,AC Transit,5750353,NTD
