agency_name,date,value,baseline_2019,recovery_pct
AC Transit,2020-01-01,4453146,4331730,102.8
AC Transit,2020-02-01,4536769,4105528,110.5
AC Transit,2020-03-01,3135853,4584336,68.4
AC Transit,2020-04-01,1415652,4680105,30.2
AC Transit,2020-05-01,1632833,4648376,35.1
AC Transit,2020-06-01,1674025,4008575,41.8
AC Transit,2020-07-01,1909495,4309923,44.3
AC Transit,2020-08-01,1993111,4711296,42.3
AC Transit,2020-09-01,2070880,4833045,42.8
AC Transit,2020-10-01,2058377,5213789,39.5
AC Transit,2020-11-01,1606517,4481701,35.8
AC Transit,2020-12-01,1583952,4193501,37.8
AC Transit,2021-01-01,1493045,4331730,34.5
AC Transit,2021-02-01,1465452,4105528,35.7
AC Transit,2021-03-01,1698886,4584336,37.1
AC Transit,2021-04-01,1743697,4680105,37.3
AC Transit,2021-05-01,1811107,4648376,39.0
AC Transit,2021-06-01,1900693,4008575,47.4
AC Transit,2021-07-01,1967664,4309923,45.7
AC Transit,2021-08-01,2257174,4711296,47.9
AC Transit,2021-09-01,2536671,4833045,52.5
AC Transit,2021-10-01,2595715,5213789,49.8
AC Transit,2021-11-01,2464465,4481701,55.0
AC Transit,2021-12-01,2221736,4193501,53.0
AC Transit,2022-01-01,2081846,4331730,48.1
AC Transit,2022-02-01,2330802,4105528,56.8
AC Transit,2022-03-01,2746216,4584336,59.9
AC Transit,2022-04-01,2694654,4680105,57.6
AC Transit,2022-05-01,2718900,4648376,58.5
AC Transit,2022-06-01,2414944,4008575,60.2
AC Transit,2022-07-01,2391509,4309923,55.5
AC Transit,2022-08-01,2923180,4711296,62.0
AC Transit,2022-09-01,3020430,4833045,62.5
AC Transit,2022-10-01,3131824,5213789,60.1
AC Transit,2022-11-01,2872436,4481701,64.1
AC Transit,2022-12-01,2605698,4193501,62.1
AC Transit,2023-01-01,2753553,4331730,63.6
AC Transit,2023-02-01,2789668,4105528,67.9
AC Transit,2023-03-01,3126401,4584336,68.2
AC Transit,2023-04-01,3114354,4680105,66.5
AC Transit,2023-05-01,3170271,4648376,68.2
AC Transit,2023-06-01,2871445,4008575,71.6
AC Transit,2023-07-01,2821252,4309923,65.5
AC Transit,2023-08-01,3416538,4711296,72.5
AC Transit,2023-09-01,3480811,4833045,72.0
AC Transit,2023-10-01,3656217,5213789,70.1
AC Transit,2023-11-01,3239491,4481701,72.3
AC Transit,2023-12-01,3008198,4193501,71.7
AC Transit,2024-01-01,3206159,4331730,74.0
AC Transit,2024-02-01,3264106,4105528,79.5
AC Transit,2024-03-01,3442151,4584336,75.1
AC Transit,2024-04-01,3448013,4680105,73.7
AC Transit,2024-05-01,3449423,4648376,74.2
AC Transit,2024-06-01,3031833,4008575,75.6
AC Transit,2024-07-01,3050495,4309923,70.8
AC Transit,2024-08-01,3454166,4711296,73.3
AC Transit,2024-09-01,3636133,4833045,75.2
AC Transit,2024-10-01,3874983,5213789,74.3
AC Transit,2024-11-01,3189705,4481701,71.2
AC Transit,2024-12-01,3077332,4193501,73.4
AC Transit,2025-01-01,3280195,4331730,75.7
AC Transit,2025-02-01,3132369,4105528,76.3
AC Transit,2025-03-01,3456642,4584336,75.4
AC Transit,2025-04-01,3527688,4680105,75.4
AC Transit,2025-05-01,3532607,4648376,76.0
AC Transit,2025-06-01,2979125,4008575,74.3
AC Transit,2025-07-01,3033368,4309923,70.4
AC Transit,2025-08-01,3406914,4711296,72.3
AC Transit,2025-09-01,3689304,4833045,76.3
AC Transit,2025-10-01,3788015,5213789,72.7
AC Transit,2025-11-01,3165781,4481701,70.6
AC Transit,2025-12-01,3070840,4193501,73.2
AC Transit,2026-01-01,3219813,4331730,74.3
AC Transit,2026-02-01,3325612,4105528,81.0
AC Transit,2026-03-01,3728624,4584336,81.3
AC Transit,2026-04-01,3637156,4680105,77.7
