date,agency_name,value,source
2002-01-01,Bay Area Rapid Transit,7909547,NTD
2002-01-01,San Francisco Municipal Railway,11545600,NTD
2002-02-01,San Francisco Municipal Railway,10797100,NTD
2002-02-01,Bay Area Rapid Transit,7345194,NTD
2002-03-01,Bay Area Rapid Transit,7964285,NTD
2002-03-01,San Francisco Municipal Railway,12053100,NTD
2002-04-01,Bay Area Rapid Transit,8270355,NTD
2002-04-01,San Francisco Municipal Railway,11424100,NTD
2002-05-01,Bay Area Rapid Transit,8289133,NTD
2002-05-01,San Francisco Municipal Railway,12035100,NTD
2002-06-01,San Francisco Municipal Railway,11831400,NTD
2002-06-01,Bay Area Rapid Transit,7763741,NTD
2002-07-01,San Francisco Municipal Railway,11156100,NTD
2002-07-01,Bay Area Rapid Transit,8115480,NTD
2002-08-01,San Francisco Municipal Railway,11650700,NTD
2002-08-01,Bay Area Rapid Transit,8102483,NTD
2002-09-01,San Francisco Municipal Railway,11436680,NTD
2002-09-01,Bay Area Rapid Transit,7967666,NTD
2002-10-01,San Francisco Municipal Railway,12402770,NTD
2002-10-01,Bay Area Rapid Transit,8586941,NTD
2002-11-01,San Francisco Municipal Railway,11838330,NTD
2002-11-01,Bay Area Rapid Transit,7426050,NTD
2002-12-01,San Francisco Municipal Railway,11874390,NTD
2002-12-01,Bay Area Rapid Transit,7420142,NTD
2003-01-01,Bay Area Rapid Transit,7742974,NTD
2003-01-01,San Francisco Municipal Railway,12164090,NTD
2003-02-01,Bay Area Rapid Transit,7203696,NTD
2003-02-01,San Francisco Municipal Railway,11051630,NTD
2003-03-01,San Francisco Municipal Railway,12362190,NTD
2003-03-01,Bay Area Rapid Transit,7824583,NTD
2003-04-01,San Francisco Municipal Railway,12117450,NTD
2003-04-01,Bay Area Rapid Transit,7744429,NTD
2003-05-01,Bay Area Rapid Transit,7770298,NTD
2003-05-01,San Francisco Municipal Railway,12495040,NTD
2003-06-01,Bay Area Rapid Transit,7686622,NTD
2003-06-01,San Francisco Municipal Railway,11994190,NTD
2003-07-01,Bay Area Rapid Transit,8183386,NTD
2003-07-01,San Francisco Municipal Railway,11694800,NTD
2003-08-01,San Francisco Municipal Railway,12214490,NTD
2003-08-01,Bay Area Rapid Transit,8187127,NTD
2003-09-01,Bay Area Rapid Transit,8322915,NTD
2003-09-01,San Francisco Municipal Railway,11502370,NTD
2003-10-01,Bay Area Rapid Transit,8773115,NTD
2003-10-01,San Francisco Municipal Railway,12592300,NTD
2003-11-01,San Francisco Municipal Railway,11944500,NTD
2003-11-01,Bay Area Rapid Transit,7559250,NTD
2003-12-01,San Francisco Municipal Railway,11972280,NTD
2003-12-01,Bay Area Rapid Transit,7916215,NTD
2004-01-01,San Francisco Municipal Railway,12249791,NTD
2004-01-01,Bay Area Rapid Transit,7580822,NTD
2004-02-01,Bay Area Rapid Transit,7475394,NTD
2004-02-01,San Francisco Municipal Railway,11118350,NTD
2004-03-01,San Francisco Municipal Railway,12355840,NTD
2004-03-01,Bay Area Rapid Transit,8574110,NTD
2004-04-01,Bay Area Rapid Transit,8332090,NTD
2004-04-01,San Francisco Municipal Railway,12220520,NTD
2004-05-01,Bay Area Rapid Transit,8224919,NTD
2004-05-01,San Francisco Municipal Railway,12522100,NTD
