month_label,2019,2022,2023,2024,2025,2026
Jan,10106508,2328579,3577697,4133086,4151331,4596545
Feb,9455714,2689680,3764194,4211327,4030808,4540045
Mar,10470980,3560435,4324376,4479626,4422230,5403169
Apr,10779665,3595725,4229321,4538901,4736423,
May,10801006,3780985,4483736,4767259,4670575,
Jun,10427019,3999328,4497899,4421768,4671882,
Jul,10625438,3672785,4235423,4516085,4713700,
Aug,10922850,4195650,4845494,4811857,4920496,
Sep,10505807,4399967,4550822,4927208,5047121,
Oct,11320625,4399766,4807188,5178577,5346891,
Nov,9728758,3928429,4311590,4232312,4409065,
Dec,9309469,3569502,3919728,4154021,4395799,
