date,agency_name,value,source
2002-01-01,Caltrain,785070,NTD
2002-02-01,Caltrain,700421,NTD
2002-03-01,Caltrain,805007,NTD
2002-04-01,Caltrain,830620,NTD
2002-05-01,Caltrain,874359,NTD
2002-06-01,Caltrain,814370,NTD
2002-07-01,Caltrain,771517,NTD
2002-08-01,Caltrain,741661,NTD
2002-09-01,Caltrain,692476,NTD
2002-10-01,Caltrain,727711,NTD
2002-11-01,Caltrain,644282,NTD
2002-12-01,Caltrain,591181,NTD
2003-01-01,Caltrain,689916,NTD
2003-02-01,Caltrain,623212,NTD
2003-03-01,Caltrain,696560,NTD
2003-04-01,Caltrain,717937,NTD
2003-05-01,Caltrain,699484,NTD
2003-06-01,Caltrain,684125,NTD
2003-07-01,Caltrain,711677,NTD
2003-08-01,Caltrain,685813,NTD
2003-09-01,Caltrain,691370,NTD
2003-10-01,Caltrain,701563,NTD
2003-11-01,Caltrain,610549,NTD
2003-12-01,Caltrain,592114,NTD
2004-01-01,Caltrain,628079,NTD
2004-02-01,Caltrain,593592,NTD
2004-03-01,Caltrain,686660,NTD
2004-04-01,Caltrain,715165,NTD
2004-05-01,Caltrain,681731,NTD
2004-06-01,Caltrain,789924,NTD
2004-07-01,Caltrain,801513,NTD
2004-08-01,Caltrain,795894,NTD
2004-09-01,Caltrain,808049,NTD
2004-10-01,Caltrain,785069,NTD
2004-11-01,Caltrain,751806,NTD
2004-12-01,Caltrain,709423,NTD
2005-01-01,Caltrain,744830,NTD
2005-02-01,Caltrain,697183,NTD
2005-03-01,Caltrain,803654,NTD
2005-04-01,Caltrain,836282,NTD
2005-05-01,Caltrain,857438,NTD
2005-06-01,Caltrain,848426,NTD
2005-07-01,Caltrain,840077,NTD
2005-08-01,Caltrain,887342,NTD
2005-09-01,Caltrain,885216,NTD
2005-10-01,Caltrain,869324,NTD
2005-11-01,Caltrain,835987,NTD
2005-12-01,Caltrain,761739,NTD
2006-01-01,Caltrain,800265,NTD
2006-02-01,Caltrain,744962,NTD
2006-03-01,Caltrain,837678,NTD
2006-04-01,Caltrain,839215,NTD
2006-05-01,Caltrain,910688,NTD
2006-06-01,Caltrain,936123,NTD
2006-07-01,Caltrain,925495,NTD
2006-08-01,Caltrain,1007897,NTD
2006-09-01,Caltrain,908327,NTD
2006-10-01,Caltrain,929766,NTD
2006-11-01,Caltrain,868522,NTD
2006-12-01,Caltrain,801406,NTD
2007-01-01,Caltrain,878636,NTD
2007-02-01,Caltrain,790583,NTD
2007-03-01,Caltrain,942770,NTD
2007-04-01,Caltrain,912360,NTD
2007-05-01,Caltrain,1002603,NTD
2007-06-01,Caltrain,980333,NTD
2007-07-01,Caltrain,1034689,NTD
2007-08-01,Caltrain,1076125,NTD
2007-09-01,Caltrain,959823,NTD
2007-10-01,Caltrain,996063,NTD
2007-11-01,Caltrain,948390,NTD
2007-12-01,Caltrain,853406,NTD
2008-01-01,Caltrain,924736,NTD
2008-02-01,Caltrain,879523,NTD
2008-03-01,Caltrain,937726,NTD
2008-04-01,Caltrain,1058315,NTD
2008-05-01,Caltrain,1110374,NTD
2008-06-01,Caltrain,1146194,NTD
2008-07-01,Caltrain,1245443,NTD
2008-08-01,Caltrain,1188931,NTD
2008-09-01,Caltrain,1140660,NTD
2008-10-01,Caltrain,1160542,NTD
2008-11-01,Caltrain,1007443,NTD
2008-12-01,Caltrain,967037,NTD
