agency_name,date,value,baseline_2019,recovery_pct
Caltrain,2020-01-01,1534159,1474345,104.1
Caltrain,2020-02-01,1257698,1231441,102.1
Caltrain,2020-03-01,1242162,1393167,89.2
Caltrain,2020-04-01,43512,1357133,3.2
Caltrain,2020-05-01,51768,1475165,3.5
Caltrain,2020-06-01,71903,1270836,5.7
Caltrain,2020-07-01,89382,1374678,6.5
Caltrain,2020-08-01,86880,1400274,6.2
Caltrain,2020-09-01,79564,1484457,5.4
Caltrain,2020-10-01,92280,1898725,4.9
Caltrain,2020-11-01,85516,1665931,5.1
Caltrain,2020-12-01,89803,1595134,5.6
Caltrain,2021-01-01,78044,1474345,5.3
Caltrain,2021-02-01,81443,1231441,6.6
Caltrain,2021-03-01,110350,1393167,7.9
Caltrain,2021-04-01,126214,1357133,9.3
Caltrain,2021-05-01,138431,1475165,9.4
Caltrain,2021-06-01,153438,1270836,12.1
Caltrain,2021-07-01,207807,1374678,15.1
Caltrain,2021-08-01,268813,1400274,19.2
Caltrain,2021-09-01,377183,1484457,25.4
Caltrain,2021-10-01,391306,1898725,20.6
Caltrain,2021-11-01,354318,1665931,21.3
Caltrain,2021-12-01,373130,1595134,23.4
Caltrain,2022-01-01,297996,1474345,20.2
Caltrain,2022-02-01,281982,1231441,22.9
Caltrain,2022-03-01,273345,1393167,19.6
Caltrain,2022-04-01,346266,1357133,25.5
Caltrain,2022-05-01,390156,1475165,26.4
Caltrain,2022-06-01,492527,1270836,38.8
Caltrain,2022-07-01,512274,1374678,37.3
Caltrain,2022-08-01,626816,1400274,44.8
Caltrain,2022-09-01,614452,1484457,41.4
Caltrain,2022-10-01,627694,1898725,33.1
Caltrain,2022-11-01,607469,1665931,36.5
Caltrain,2022-12-01,534410,1595134,33.5
Caltrain,2023-01-01,589372,1474345,40.0
Caltrain,2023-02-01,537740,1231441,43.7
Caltrain,2023-03-01,616076,1393167,44.2
Caltrain,2023-04-01,503338,1357133,37.1
Caltrain,2023-05-01,593432,1475165,40.2
Caltrain,2023-06-01,649043,1270836,51.1
Caltrain,2023-07-01,642468,1374678,46.7
Caltrain,2023-08-01,571162,1400274,40.8
Caltrain,2023-09-01,635982,1484457,42.8
Caltrain,2023-10-01,668627,1898725,35.2
Caltrain,2023-11-01,658857,1665931,39.5
Caltrain,2023-12-01,593295,1595134,37.2
Caltrain,2024-01-01,631406,1474345,42.8
Caltrain,2024-02-01,573193,1231441,46.5
Caltrain,2024-03-01,614926,1393167,44.1
Caltrain,2024-04-01,554451,1357133,40.9
Caltrain,2024-05-01,629430,1475165,42.7
Caltrain,2024-06-01,631208,1270836,49.7
Caltrain,2024-07-01,766507,1374678,55.8
Caltrain,2024-08-01,809607,1400274,57.8
Caltrain,2024-09-01,849044,1484457,57.2
Caltrain,2024-10-01,1228086,1898725,64.7
Caltrain,2024-11-01,865474,1665931,52.0
Caltrain,2024-12-01,855232,1595134,53.6
Caltrain,2025-01-01,820443,1474345,55.6
Caltrain,2025-02-01,750389,1231441,60.9
Caltrain,2025-03-01,896348,1393167,64.3
Caltrain,2025-04-01,987446,1357133,72.8
Caltrain,2025-05-01,1019481,1475165,69.1
Caltrain,2025-06-01,1163817,1270836,91.6
Caltrain,2025-07-01,1160572,1374678,84.4
Caltrain,2025-08-01,1195461,1400274,85.4
Caltrain,2025-09-01,1235482,1484457,83.2
Caltrain,2025-10-01,1314942,1898725,69.3
Caltrain,2025-11-01,1195323,1665931,71.8
Caltrain,2025-12-01,1176084,1595134,73.7
Caltrain,2026-01-01,1187708,1474345,80.6
Caltrain,2026-02-01,1022834,1231441,83.1
Caltrain,2026-03-01,1141951,1393167,82.0
Caltrain,2026-04-01,1176296,1357133,86.7
Caltrain,2026-05-01,1175050,1475165,79.7
