date,agency_name,value,source
2002-01-01,San Francisco Municipal Railway,12311600,NTD
2002-02-01,San Francisco Municipal Railway,11499100,NTD
2002-03-01,San Francisco Municipal Railway,12811300,NTD
2002-04-01,San Francisco Municipal Railway,12150700,NTD
2002-05-01,San Francisco Municipal Railway,12781400,NTD
2002-06-01,San Francisco Municipal Railway,12552800,NTD
2002-07-01,San Francisco Municipal Railway,11943700,NTD
2002-08-01,San Francisco Municipal Railway,12435600,NTD
2002-09-01,San Francisco Municipal Railway,12139890,NTD
2002-10-01,San Francisco Municipal Railway,13125140,NTD
2002-11-01,San Francisco Municipal Railway,12531840,NTD
2002-12-01,San Francisco Municipal Railway,12584400,NTD
2003-01-01,San Francisco Municipal Railway,12870820,NTD
2003-02-01,San Francisco Municipal Railway,11685880,NTD
2003-03-01,San Francisco Municipal Railway,13059600,NTD
2003-04-01,San Francisco Municipal Railway,12786790,NTD
2003-05-01,San Francisco Municipal Railway,13181690,NTD
2003-06-01,San Francisco Municipal Railway,12653300,NTD
2003-07-01,San Francisco Municipal Railway,12438960,NTD
2003-08-01,San Francisco Municipal Railway,12956100,NTD
2003-09-01,San Francisco Municipal Railway,12189140,NTD
2003-10-01,San Francisco Municipal Railway,13298610,NTD
2003-11-01,San Francisco Municipal Railway,12618920,NTD
2003-12-01,San Francisco Municipal Railway,12667450,NTD
2004-01-01,San Francisco Municipal Railway,12941481,NTD
2004-02-01,San Francisco Municipal Railway,11738970,NTD
2004-03-01,San Francisco Municipal Railway,13038650,NTD
2004-04-01,San Francisco Municipal Railway,12877320,NTD
2004-05-01,San Francisco Municipal Railway,13196280,NTD
2004-06-01,San Francisco Municipal Railway,12595050,NTD
2004-07-01,San Francisco Municipal Railway,12036800,NTD
2004-08-01,San Francisco Municipal Railway,13475590,NTD
2004-09-01,San Francisco Municipal Railway,11817950,NTD
2004-10-01,San Francisco Municipal Railway,13015430,NTD
2004-11-01,San Francisco Municipal Railway,10237550,NTD
2004-12-01,San Francisco Municipal Railway,11212640,NTD
2005-01-01,San Francisco Municipal Railway,11902660,NTD
2005-02-01,San Francisco Municipal Railway,10206310,NTD
2005-03-01,San Francisco Municipal Railway,13027010,NTD
2005-04-01,San Francisco Municipal Railway,11981320,NTD
2005-05-01,San Francisco Municipal Railway,10881260,NTD
2005-06-01,San Francisco Municipal Railway,12141420,NTD
2005-07-01,San Francisco Municipal Railway,12379620,NTD
2005-08-01,San Francisco Municipal Railway,13859390,NTD
2005-09-01,San Francisco Municipal Railway,12154540,NTD
2005-10-01,San Francisco Municipal Railway,13386130,NTD
2005-11-01,San Francisco Municipal Railway,10529120,NTD
2005-12-01,San Francisco Municipal Railway,11531980,NTD
2006-01-01,San Francisco Municipal Railway,10661600,NTD
2006-02-01,San Francisco Municipal Railway,10441110,NTD
2006-03-01,San Francisco Municipal Railway,12343460,NTD
2006-04-01,San Francisco Municipal Railway,11936860,NTD
2006-05-01,San Francisco Municipal Railway,13330940,NTD
2006-06-01,San Francisco Municipal Railway,13142160,NTD
2006-07-01,San Francisco Municipal Railway,11967740,NTD
2006-08-01,San Francisco Municipal Railway,13398280,NTD
2006-09-01,San Francisco Municipal Railway,11750150,NTD
2006-10-01,San Francisco Municipal Railway,12940760,NTD
2006-11-01,San Francisco Municipal Railway,10178810,NTD
2006-12-01,San Francisco Municipal Railway,11148310,NTD
2007-01-01,San Francisco Municipal Railway,10265810,NTD
2007-02-01,San Francisco Municipal Railway,10028694,NTD
2007-03-01,San Francisco Municipal Railway,11855890,NTD
2007-04-01,San Francisco Municipal Railway,11465350,NTD
2007-05-01,San Francisco Municipal Railway,12804360,NTD
2007-06-01,San Francisco Municipal Railway,12623040,NTD
2007-07-01,San Francisco Municipal Railway,11863150,NTD
2007-08-01,San Francisco Municipal Railway,13281180,NTD
2007-09-01,San Francisco Municipal Railway,11647460,NTD
2007-10-01,San Francisco Municipal Railway,12827660,NTD
2007-11-01,San Francisco Municipal Railway,10089850,NTD
2007-12-01,San Francisco Municipal Railway,11050890,NTD
2008-01-01,San Francisco Municipal Railway,10242090,NTD
2008-02-01,San Francisco Municipal Railway,10005530,NTD
2008-03-01,San Francisco Municipal Railway,11828510,NTD
2008-04-01,San Francisco Municipal Railway,11438870,NTD
2008-05-01,San Francisco Municipal Railway,12774790,NTD
2008-06-01,San Francisco Municipal Railway,12593880,NTD
2008-07-01,San Francisco Municipal Railway,13812773,NTD
2008-08-01,San Francisco Municipal Railway,13330245,NTD
2008-09-01,San Francisco Municipal Railway,13055473,NTD
2008-10-01,San Francisco Municipal Railway,13310818,NTD
2008-11-01,San Francisco Municipal Railway,11387091,NTD
2008-12-01,San Francisco Municipal Railway,11130440,NTD
2009-01-01,San Francisco Municipal Railway,11495072,NTD
2009-02-01,San Francisco Municipal Railway,10877142,NTD
2009-03-01,San Francisco Municipal Railway,12329327,NTD
2009-04-01,San Francisco Municipal Railway,12026059,NTD
2009-05-01,San Francisco Municipal Railway,12531181,NTD
2009-06-01,San Francisco Municipal Railway,12966401,NTD
2009-07-01,San Francisco Municipal Railway,15147509,NTD
2009-08-01,San Francisco Municipal Railway,15338821,NTD
2009-09-01,San Francisco Municipal Railway,14105450,NTD
2009-10-01,San Francisco Municipal Railway,14472994,NTD
2009-11-01,San Francisco Municipal Railway,11773526,NTD
2009-12-01,San Francisco Municipal Railway,12203934,NTD
2010-01-01,San Francisco Municipal Railway,11476953,NTD
2010-02-01,San Francisco Municipal Railway,10338599,NTD
2010-03-01,San Francisco Municipal Railway,12273934,NTD
2010-04-01,San Francisco Municipal Railway,12002169,NTD
2010-05-01,San Francisco Municipal Railway,12124007,NTD
2010-06-01,San Francisco Municipal Railway,12624011,NTD
2010-07-01,San Francisco Municipal Railway,12136557,NTD
2010-08-01,San Francisco Municipal Railway,12468357,NTD
2010-09-01,San Francisco Municipal Railway,12405623,NTD
2010-10-01,San Francisco Municipal Railway,12618674,NTD
2010-11-01,San Francisco Municipal Railway,11386596,NTD
2010-12-01,San Francisco Municipal Railway,11677006,NTD
2011-01-01,San Francisco Municipal Railway,11800611,NTD
2011-02-01,San Francisco Municipal Railway,11510791,NTD
2011-03-01,San Francisco Municipal Railway,12476065,NTD
2011-04-01,San Francisco Municipal Railway,12280010,NTD
2011-05-01,San Francisco Municipal Railway,12379803,NTD
2011-06-01,San Francisco Municipal Railway,12245776,NTD
