agency_name,date,value,baseline_2019,recovery_pct
San Francisco Municipal Railway,2020-01-01,18140729,18824951,96.4
San Francisco Municipal Railway,2020-02-01,16434997,17054293,96.4
San Francisco Municipal Railway,2020-03-01,18140728,18824951,96.4
San Francisco Municipal Railway,2020-04-01,2551423,18745834,13.6
San Francisco Municipal Railway,2020-05-01,3067571,19098848,16.1
San Francisco Municipal Railway,2020-06-01,3759078,18116133,20.7
San Francisco Municipal Railway,2020-07-01,4230259,18060723,23.4
San Francisco Municipal Railway,2020-08-01,4198542,18749397,22.4
San Francisco Municipal Railway,2020-09-01,4257243,17113036,24.9
San Francisco Municipal Railway,2020-10-01,4737240,18749397,25.3
San Francisco Municipal Railway,2020-11-01,4743532,17721702,26.8
San Francisco Municipal Railway,2020-12-01,4642335,17796393,26.1
San Francisco Municipal Railway,2021-01-01,4540139,18824951,24.1
San Francisco Municipal Railway,2021-02-01,4865054,17054293,28.5
San Francisco Municipal Railway,2021-03-01,5766696,18824951,30.6
San Francisco Municipal Railway,2021-04-01,5872736,18745834,31.3
San Francisco Municipal Railway,2021-05-01,6500158,19098848,34.0
San Francisco Municipal Railway,2021-06-01,7287816,18116133,40.2
San Francisco Municipal Railway,2021-07-01,7066099,18060723,39.1
San Francisco Municipal Railway,2021-08-01,7655491,18749397,40.8
San Francisco Municipal Railway,2021-09-01,8450788,17113036,49.4
San Francisco Municipal Railway,2021-10-01,8539790,18749397,45.5
San Francisco Municipal Railway,2021-11-01,8418095,17721702,47.5
San Francisco Municipal Railway,2021-12-01,8127786,17796393,45.7
San Francisco Municipal Railway,2022-01-01,7727441,18824951,41.0
San Francisco Municipal Railway,2022-02-01,7751745,17054293,45.5
San Francisco Municipal Railway,2022-03-01,9482912,18824951,50.4
San Francisco Municipal Railway,2022-04-01,9512714,18745834,50.7
San Francisco Municipal Railway,2022-05-01,9991169,19098848,52.3
San Francisco Municipal Railway,2022-06-01,9787520,18116133,54.0
San Francisco Municipal Railway,2022-07-01,10082569,18060723,55.8
San Francisco Municipal Railway,2022-08-01,11286366,18749397,60.2
San Francisco Municipal Railway,2022-09-01,11626987,17113036,67.9
San Francisco Municipal Railway,2022-10-01,11947426,18749397,63.7
San Francisco Municipal Railway,2022-11-01,11060052,17721702,62.4
San Francisco Municipal Railway,2022-12-01,10513009,17796393,59.1
San Francisco Municipal Railway,2023-01-01,10976880,18824951,58.3
San Francisco Municipal Railway,2023-02-01,11048377,17054293,64.8
San Francisco Municipal Railway,2023-03-01,12341347,18824951,65.6
San Francisco Municipal Railway,2023-04-01,12657386,18745834,67.5
San Francisco Municipal Railway,2023-05-01,13055816,19098848,68.4
San Francisco Municipal Railway,2023-06-01,12294125,18116133,67.9
San Francisco Municipal Railway,2023-07-01,12657293,18060723,70.1
San Francisco Municipal Railway,2023-08-01,13869133,18749397,74.0
San Francisco Municipal Railway,2023-09-01,13604576,17113036,79.5
San Francisco Municipal Railway,2023-10-01,13985537,18749397,74.6
San Francisco Municipal Railway,2023-11-01,12536236,17721702,70.7
San Francisco Municipal Railway,2023-12-01,12388644,17796393,69.6
San Francisco Municipal Railway,2024-01-01,12751448,18824951,67.7
San Francisco Municipal Railway,2024-02-01,12811287,17054293,75.1
San Francisco Municipal Railway,2024-03-01,14020658,18824951,74.5
San Francisco Municipal Railway,2024-04-01,13828232,18745834,73.8
San Francisco Municipal Railway,2024-05-01,14578791,19098848,76.3
San Francisco Municipal Railway,2024-06-01,13258045,18116133,73.2
San Francisco Municipal Railway,2024-07-01,13888893,18060723,76.9
San Francisco Municipal Railway,2024-08-01,14523445,18749397,77.5
San Francisco Municipal Railway,2024-09-01,14556333,17113036,85.1
San Francisco Municipal Railway,2024-10-01,15377630,18749397,82.0
San Francisco Municipal Railway,2024-11-01,13024389,17721702,73.5
San Francisco Municipal Railway,2024-12-01,12955188,17796393,72.8
San Francisco Municipal Railway,2025-01-01,13650484,18824951,72.5
San Francisco Municipal Railway,2025-02-01,12585269,17054293,73.8
San Francisco Municipal Railway,2025-03-01,14198951,18824951,75.4
San Francisco Municipal Railway,2025-04-01,14671334,18745834,78.3
San Francisco Municipal Railway,2025-05-01,14933798,19098848,78.2
San Francisco Municipal Railway,2025-06-01,13717162,18116133,75.7
San Francisco Municipal Railway,2025-07-01,14431324,18060723,79.9
San Francisco Municipal Railway,2025-08-01,15147451,18749397,80.8
San Francisco Municipal Railway,2025-09-01,15209658,17113036,88.9
San Francisco Municipal Railway,2025-10-01,15621699,18749397,83.3
San Francisco Municipal Railway,2025-11-01,13436244,17721702,75.8
San Francisco Municipal Railway,2025-12-01,13039745,17796393,73.3
San Francisco Municipal Railway,2026-01-01,14049748,18824951,74.6
San Francisco Municipal Railway,2026-02-01,13274782,17054293,77.8
San Francisco Municipal Railway,2026-03-01,15464307,18824951,82.1
