date,agency_name,value,source
2017-07-01,Sonoma-Marin Area Rail Transit,37211,NTD
2017-08-01,Sonoma-Marin Area Rail Transit,54484,sonomamarintrain.org
2017-09-01,Sonoma-Marin Area Rail Transit,65019,sonomamarintrain.org
2017-10-01,Sonoma-Marin Area Rail Transit,57453,sonomamarintrain.org
2017-11-01,Sonoma-Marin Area Rail Transit,56125,sonomamarintrain.org
2017-12-01,Sonoma-Marin Area Rail Transit,56425,sonomamarintrain.org
2018-01-01,Sonoma-Marin Area Rail Transit,56527,sonomamarintrain.org
2018-02-01,Sonoma-Marin Area Rail Transit,54797,sonomamarintrain.org
2018-03-01,Sonoma-Marin Area Rail Transit,57312,sonomamarintrain.org
2018-04-01,Sonoma-Marin Area Rail Transit,56631,sonomamarintrain.org
2018-05-01,Sonoma-Marin Area Rail Transit,59428,sonomamarintrain.org
2018-06-01,Sonoma-Marin Area Rail Transit,61828,sonomamarintrain.org
2018-07-01,Sonoma-Marin Area Rail Transit,63864,sonomamarintrain.org
2018-08-01,Sonoma-Marin Area Rail Transit,74384,sonomamarintrain.org
2018-09-01,Sonoma-Marin Area Rail Transit,62314,sonomamarintrain.org
2018-10-01,Sonoma-Marin Area Rail Transit,65492,sonomamarintrain.org
2018-11-01,Sonoma-Marin Area Rail Transit,52774,sonomamarintrain.org
2018-12-01,Sonoma-Marin Area Rail Transit,51670,sonomamarintrain.org
2019-01-01,Sonoma-Marin Area Rail Transit,57136,sonomamarintrain.org
2019-02-01,Sonoma-Marin Area Rail Transit,51130,sonomamarintrain.org
2019-03-01,Sonoma-Marin Area Rail Transit,58091,sonomamarintrain.org
2019-04-01,Sonoma-Marin Area Rail Transit,60256,sonomamarintrain.org
2019-05-01,Sonoma-Marin Area Rail Transit,64036,sonomamarintrain.org
2019-06-01,Sonoma-Marin Area Rail Transit,55700,sonomamarintrain.org
2019-07-01,Sonoma-Marin Area Rail Transit,62851,sonomamarintrain.org
2019-08-01,Sonoma-Marin Area Rail Transit,65352,sonomamarintrain.org
2019-09-01,Sonoma-Marin Area Rail Transit,62974,sonomamarintrain.org
2019-10-01,Sonoma-Marin Area Rail Transit,57222,sonomamarintrain.org
2019-11-01,Sonoma-Marin Area Rail Transit,64966,sonomamarintrain.org
2019-12-01,Sonoma-Marin Area Rail Transit,58199,sonomamarintrain.org
2020-01-01,Sonoma-Marin Area Rail Transit,71974,sonomamarintrain.org
2020-02-01,Sonoma-Marin Area Rail Transit,71676,sonomamarintrain.org
2020-03-01,Sonoma-Marin Area Rail Transit,33624,sonomamarintrain.org
2020-04-01,Sonoma-Marin Area Rail Transit,4571,sonomamarintrain.org
2020-05-01,Sonoma-Marin Area Rail Transit,5308,sonomamarintrain.org
2020-06-01,Sonoma-Marin Area Rail Transit,8386,sonomamarintrain.org
2020-07-01,Sonoma-Marin Area Rail Transit,9427,sonomamarintrain.org
2020-08-01,Sonoma-Marin Area Rail Transit,8703,sonomamarintrain.org
2020-09-01,Sonoma-Marin Area Rail Transit,8910,sonomamarintrain.org
2020-10-01,Sonoma-Marin Area Rail Transit,9851,sonomamarintrain.org
2020-11-01,Sonoma-Marin Area Rail Transit,8145,sonomamarintrain.org
2020-12-01,Sonoma-Marin Area Rail Transit,7414,sonomamarintrain.org
2021-01-01,Sonoma-Marin Area Rail Transit,6728,sonomamarintrain.org
2021-02-01,Sonoma-Marin Area Rail Transit,7412,sonomamarintrain.org
2021-03-01,Sonoma-Marin Area Rail Transit,9933,sonomamarintrain.org
2021-04-01,Sonoma-Marin Area Rail Transit,11908,sonomamarintrain.org
2021-05-01,Sonoma-Marin Area Rail Transit,13949,sonomamarintrain.org
2021-06-01,Sonoma-Marin Area Rail Transit,20469,sonomamarintrain.org
2021-07-01,Sonoma-Marin Area Rail Transit,24627,sonomamarintrain.org
2021-08-01,Sonoma-Marin Area Rail Transit,25020,sonomamarintrain.org
2021-09-01,Sonoma-Marin Area Rail Transit,27967,sonomamarintrain.org
2021-10-01,Sonoma-Marin Area Rail Transit,26998,sonomamarintrain.org
2021-11-01,Sonoma-Marin Area Rail Transit,26575,sonomamarintrain.org
2021-12-01,Sonoma-Marin Area Rail Transit,24050,sonomamarintrain.org
2022-01-01,Sonoma-Marin Area Rail Transit,22710,sonomamarintrain.org
2022-02-01,Sonoma-Marin Area Rail Transit,26652,sonomamarintrain.org
2022-03-01,Sonoma-Marin Area Rail Transit,35291,sonomamarintrain.org
2022-04-01,Sonoma-Marin Area Rail Transit,34258,sonomamarintrain.org
2022-05-01,Sonoma-Marin Area Rail Transit,38655,sonomamarintrain.org
2022-06-01,Sonoma-Marin Area Rail Transit,41525,sonomamarintrain.org
2022-07-01,Sonoma-Marin Area Rail Transit,43752,sonomamarintrain.org
2022-08-01,Sonoma-Marin Area Rail Transit,48278,sonomamarintrain.org
2022-09-01,Sonoma-Marin Area Rail Transit,49134,sonomamarintrain.org
2022-10-01,Sonoma-Marin Area Rail Transit,59322,sonomamarintrain.org
2022-11-01,Sonoma-Marin Area Rail Transit,51383,sonomamarintrain.org
2022-12-01,Sonoma-Marin Area Rail Transit,47606,sonomamarintrain.org
2023-01-01,Sonoma-Marin Area Rail Transit,46149,sonomamarintrain.org
2023-02-01,Sonoma-Marin Area Rail Transit,49724,sonomamarintrain.org
2023-03-01,Sonoma-Marin Area Rail Transit,53622,sonomamarintrain.org
2023-04-01,Sonoma-Marin Area Rail Transit,58551,sonomamarintrain.org
2023-05-01,Sonoma-Marin Area Rail Transit,65416,sonomamarintrain.org
2023-06-01,Sonoma-Marin Area Rail Transit,67162,sonomamarintrain.org
2023-07-01,Sonoma-Marin Area Rail Transit,65779,sonomamarintrain.org
2023-08-01,Sonoma-Marin Area Rail Transit,72171,sonomamarintrain.org
2023-09-01,Sonoma-Marin Area Rail Transit,68506,sonomamarintrain.org
2023-10-01,Sonoma-Marin Area Rail Transit,70807,sonomamarintrain.org
2023-11-01,Sonoma-Marin Area Rail Transit,65445,sonomamarintrain.org
2023-12-01,Sonoma-Marin Area Rail Transit,66684,sonomamarintrain.org
2024-01-01,Sonoma-Marin Area Rail Transit,65990,sonomamarintrain.org
2024-02-01,Sonoma-Marin Area Rail Transit,62090,sonomamarintrain.org
2024-03-01,Sonoma-Marin Area Rail Transit,67421,sonomamarintrain.org
2024-04-01,Sonoma-Marin Area Rail Transit,80195,sonomamarintrain.org
2024-05-01,Sonoma-Marin Area Rail Transit,85148,sonomamarintrain.org
2024-06-01,Sonoma-Marin Area Rail Transit,80034,sonomamarintrain.org
2024-07-01,Sonoma-Marin Area Rail Transit,88022,sonomamarintrain.org
2024-08-01,Sonoma-Marin Area Rail Transit,91894,sonomamarintrain.org
2024-09-01,Sonoma-Marin Area Rail Transit,92834,sonomamarintrain.org
2024-10-01,Sonoma-Marin Area Rail Transit,96599,sonomamarintrain.org
2024-11-01,Sonoma-Marin Area Rail Transit,78550,sonomamarintrain.org
2024-12-01,Sonoma-Marin Area Rail Transit,76624,sonomamarintrain.org
2025-01-01,Sonoma-Marin Area Rail Transit,92907,sonomamarintrain.org
2025-02-01,Sonoma-Marin Area Rail Transit,81669,sonomamarintrain.org
2025-03-01,Sonoma-Marin Area Rail Transit,94916,sonomamarintrain.org
2025-04-01,Sonoma-Marin Area Rail Transit,103086,sonomamarintrain.org
2025-05-01,Sonoma-Marin Area Rail Transit,106006,sonomamarintrain.org
2025-06-01,Sonoma-Marin Area Rail Transit,120578,sonomamarintrain.org
2025-07-01,Sonoma-Marin Area Rail Transit,132805,sonomamarintrain.org
2025-08-01,Sonoma-Marin Area Rail Transit,125407,sonomamarintrain.org
2025-09-01,Sonoma-Marin Area Rail Transit,121621,sonomamarintrain.org
2025-10-01,Sonoma-Marin Area Rail Transit,120127,sonomamarintrain.org
2025-11-01,Sonoma-Marin Area Rail Transit,99471,sonomamarintrain.org
2025-12-01,Sonoma-Marin Area Rail Transit,106975,sonomamarintrain.org
2026-01-01,Sonoma-Marin Area Rail Transit,110730,sonomamarintrain.org
2026-02-01,Sonoma-Marin Area Rail Transit,101935,sonomamarintrain.org
2026-03-01,Sonoma-Marin Area Rail Transit,124966,sonomamarintrain.org
2026-04-01,Sonoma-Marin Area Rail Transit,133860,sonomamarintrain.org
2026-05-01,Sonoma-Marin Area Rail Transit,148110,NTD
