agency_name,date,value,baseline_2019,recovery_pct
Sonoma-Marin Area Rail Transit,2020-01-01,71974,57136,126.0
Sonoma-Marin Area Rail Transit,2020-02-01,71676,51130,140.2
Sonoma-Marin Area Rail Transit,2020-03-01,33624,58091,57.9
Sonoma-Marin Area Rail Transit,2020-04-01,4571,60256,7.6
Sonoma-Marin Area Rail Transit,2020-05-01,5308,64036,8.3
Sonoma-Marin Area Rail Transit,2020-06-01,8386,55700,15.1
Sonoma-Marin Area Rail Transit,2020-07-01,9427,62851,15.0
Sonoma-Marin Area Rail Transit,2020-08-01,8703,65352,13.3
Sonoma-Marin Area Rail Transit,2020-09-01,8910,62974,14.1
Sonoma-Marin Area Rail Transit,2020-10-01,9851,57222,17.2
Sonoma-Marin Area Rail Transit,2020-11-01,8145,64966,12.5
Sonoma-Marin Area Rail Transit,2020-12-01,7414,58199,12.7
Sonoma-Marin Area Rail Transit,2021-01-01,6728,57136,11.8
Sonoma-Marin Area Rail Transit,2021-02-01,7412,51130,14.5
Sonoma-Marin Area Rail Transit,2021-03-01,9933,58091,17.1
Sonoma-Marin Area Rail Transit,2021-04-01,11908,60256,19.8
Sonoma-Marin Area Rail Transit,2021-05-01,13949,64036,21.8
Sonoma-Marin Area Rail Transit,2021-06-01,20469,55700,36.7
Sonoma-Marin Area Rail Transit,2021-07-01,24627,62851,39.2
Sonoma-Marin Area Rail Transit,2021-08-01,25020,65352,38.3
Sonoma-Marin Area Rail Transit,2021-09-01,27967,62974,44.4
Sonoma-Marin Area Rail Transit,2021-10-01,26998,57222,47.2
Sonoma-Marin Area Rail Transit,2021-11-01,26575,64966,40.9
Sonoma-Marin Area Rail Transit,2021-12-01,24050,58199,41.3
Sonoma-Marin Area Rail Transit,2022-01-01,22710,57136,39.7
Sonoma-Marin Area Rail Transit,2022-02-01,26652,51130,52.1
Sonoma-Marin Area Rail Transit,2022-03-01,35291,58091,60.8
Sonoma-Marin Area Rail Transit,2022-04-01,34258,60256,56.9
Sonoma-Marin Area Rail Transit,2022-05-01,38655,64036,60.4
Sonoma-Marin Area Rail Transit,2022-06-01,41525,55700,74.6
Sonoma-Marin Area Rail Transit,2022-07-01,43752,62851,69.6
Sonoma-Marin Area Rail Transit,2022-08-01,48278,65352,73.9
Sonoma-Marin Area Rail Transit,2022-09-01,49134,62974,78.0
Sonoma-Marin Area Rail Transit,2022-10-01,59322,57222,103.7
Sonoma-Marin Area Rail Transit,2022-11-01,51383,64966,79.1
Sonoma-Marin Area Rail Transit,2022-12-01,47606,58199,81.8
Sonoma-Marin Area Rail Transit,2023-01-01,46149,57136,80.8
Sonoma-Marin Area Rail Transit,2023-02-01,49724,51130,97.3
Sonoma-Marin Area Rail Transit,2023-03-01,53622,58091,92.3
Sonoma-Marin Area Rail Transit,2023-04-01,58551,60256,97.2
Sonoma-Marin Area Rail Transit,2023-05-01,65416,64036,102.2
Sonoma-Marin Area Rail Transit,2023-06-01,67162,55700,120.6
Sonoma-Marin Area Rail Transit,2023-07-01,65779,62851,104.7
Sonoma-Marin Area Rail Transit,2023-08-01,72171,65352,110.4
Sonoma-Marin Area Rail Transit,2023-09-01,68506,62974,108.8
Sonoma-Marin Area Rail Transit,2023-10-01,70807,57222,123.7
Sonoma-Marin Area Rail Transit,2023-11-01,65445,64966,100.7
Sonoma-Marin Area Rail Transit,2023-12-01,66684,58199,114.6
Sonoma-Marin Area Rail Transit,2024-01-01,65990,57136,115.5
Sonoma-Marin Area Rail Transit,2024-02-01,62090,51130,121.4
Sonoma-Marin Area Rail Transit,2024-03-01,67421,58091,116.1
Sonoma-Marin Area Rail Transit,2024-04-01,80195,60256,133.1
Sonoma-Marin Area Rail Transit,2024-05-01,85148,64036,133.0
Sonoma-Marin Area Rail Transit,2024-06-01,80034,55700,143.7
Sonoma-Marin Area Rail Transit,2024-07-01,88022,62851,140.0
Sonoma-Marin Area Rail Transit,2024-08-01,91894,65352,140.6
Sonoma-Marin Area Rail Transit,2024-09-01,92834,62974,147.4
Sonoma-Marin Area Rail Transit,2024-10-01,96599,57222,168.8
Sonoma-Marin Area Rail Transit,2024-11-01,78550,64966,120.9
Sonoma-Marin Area Rail Transit,2024-12-01,76624,58199,131.7
Sonoma-Marin Area Rail Transit,2025-01-01,92907,57136,162.6
Sonoma-Marin Area Rail Transit,2025-02-01,81669,51130,159.7
Sonoma-Marin Area Rail Transit,2025-03-01,94916,58091,163.4
Sonoma-Marin Area Rail Transit,2025-04-01,103086,60256,171.1
Sonoma-Marin Area Rail Transit,2025-05-01,106006,64036,165.5
Sonoma-Marin Area Rail Transit,2025-06-01,120578,55700,216.5
Sonoma-Marin Area Rail Transit,2025-07-01,132805,62851,211.3
Sonoma-Marin Area Rail Transit,2025-08-01,125407,65352,191.9
Sonoma-Marin Area Rail Transit,2025-09-01,121621,62974,193.1
Sonoma-Marin Area Rail Transit,2025-10-01,120127,57222,209.9
Sonoma-Marin Area Rail Transit,2025-11-01,99471,64966,153.1
Sonoma-Marin Area Rail Transit,2025-12-01,106975,58199,183.8
Sonoma-Marin Area Rail Transit,2026-01-01,110730,57136,193.8
Sonoma-Marin Area Rail Transit,2026-02-01,101935,51130,199.4
Sonoma-Marin Area Rail Transit,2026-03-01,124966,58091,215.1
