agency_id,agency_name,ntd_id,date,metric,value,source,ntd_value,variance_pct,flag,is_provisional,last_updated
unioncity,Union City Transit,90161,2003-01-01,upt,36443,NTD,36443.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-02-01,upt,33505,NTD,33505.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-03-01,upt,36845,NTD,36845.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-04-01,upt,35254,NTD,35254.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-05-01,upt,36951,NTD,36951.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-06-01,upt,33673,NTD,33673.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-07-01,upt,35454,NTD,35454.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-08-01,upt,33604,NTD,33604.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-09-01,upt,40983,NTD,40983.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-10-01,upt,0,NTD,0.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-11-01,upt,0,NTD,0.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2003-12-01,upt,0,NTD,0.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-01-01,upt,32822,NTD,32822.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-02-01,upt,30969,NTD,30969.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-03-01,upt,35126,NTD,35126.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-04-01,upt,30447,NTD,30447.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-05-01,upt,36978,NTD,36978.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-06-01,upt,37032,NTD,37032.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-07-01,upt,34082,NTD,34082.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-08-01,upt,34289,NTD,34289.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-09-01,upt,36923,NTD,36923.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-10-01,upt,38988,NTD,38988.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-11-01,upt,33690,NTD,33690.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2006-12-01,upt,29713,NTD,29713.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2007-01-01,upt,35472,NTD,35472.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2007-02-01,upt,31253,NTD,31253.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2007-03-01,upt,38565,NTD,38565.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2007-04-01,upt,35616,NTD,35616.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2007-05-01,upt,38297,NTD,38297.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2007-06-01,upt,34170,NTD,34170.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2007-07-01,upt,34884,NTD,34884.0,,,False,2026-06-29T16:49:29Z
unioncity,Union City Transit,90161,2007-08-01,upt,37875,NTD,37875.0,,,False,2026-06-29T16:49:29Z
