agency_id,agency_name,ntd_id,date,metric,value,mode,unit,source,source_url,scraped_at,is_provisional
bart,Bay Area Rapid Transit,90003,2025-01-01,monthly_exits,4151331,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2025-02/Ridership_202501.xlsx,2026-05-01T05:25:22Z,False
bart,Bay Area Rapid Transit,90003,2025-02-01,monthly_exits,4030808,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2025-03/Ridership_202502.xlsx,2026-05-01T05:25:22Z,False
bart,Bay Area Rapid Transit,90003,2025-03-01,monthly_exits,4422230,HR,exits,bart.gov,https://www.bart.gov/news/articles/2025/news20250109-1,2026-05-01T05:25:23Z,False
bart,Bay Area Rapid Transit,90003,2025-04-01,monthly_exits,4736423,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2025-05/Ridership_202504.xlsx,2026-05-01T05:25:23Z,False
bart,Bay Area Rapid Transit,90003,2025-05-01,monthly_exits,4670575,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2025-06/Ridership_202505.xlsx,2026-05-01T05:25:23Z,False
bart,Bay Area Rapid Transit,90003,2025-06-01,monthly_exits,4671882,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2025-07/Ridership_202506.xlsx,2026-05-01T05:25:24Z,False
bart,Bay Area Rapid Transit,90003,2025-07-01,monthly_exits,4713700,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2025-08/Ridership_202507.xlsx,2026-05-01T05:25:24Z,False
bart,Bay Area Rapid Transit,90003,2025-08-01,monthly_exits,4920496,HR,exits,bart.gov,https://www.bart.gov/news/articles/2025/news20250109-1,2026-05-01T05:25:25Z,False
bart,Bay Area Rapid Transit,90003,2025-09-01,monthly_exits,5047121,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2025-10/Ridership_202509.xlsx,2026-05-01T05:25:25Z,False
bart,Bay Area Rapid Transit,90003,2025-10-01,monthly_exits,5346891,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2025-11/Ridership_202510.xlsx,2026-05-01T05:25:25Z,False
bart,Bay Area Rapid Transit,90003,2025-11-01,monthly_exits,4409065,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2025-12/Ridership_202511.xlsx,2026-05-01T05:25:26Z,False
bart,Bay Area Rapid Transit,90003,2025-12-01,monthly_exits,4395799,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2026-01/Ridership_202512.xlsx,2026-05-01T05:25:26Z,False
bart,Bay Area Rapid Transit,90003,2026-01-01,monthly_exits,4596545,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2026-02/Ridership_202601.xlsx,2026-05-01T05:25:26Z,False
bart,Bay Area Rapid Transit,90003,2026-02-01,monthly_exits,4540045,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2026-03/Ridership_202602.xlsx,2026-05-01T05:25:26Z,False
bart,Bay Area Rapid Transit,90003,2026-03-01,monthly_exits,5403169,HR,exits,bart.gov,https://www.bart.gov/sites/default/files/2026-04/Ridership_202603.xlsx,2026-05-01T05:25:27Z,False
bart,Bay Area Rapid Transit,90003,2026-04-01,monthly_exits,5016052,HR,exits,bart.gov,https://www.bart.gov/news/articles/2025/news20250109-1,2026-05-01T05:25:27Z,True
