agency_id,agency_name,ntd_id,date,metric,value,mode,unit,source,source_url,scraped_at,is_provisional
bart,Bay Area Rapid Transit,90003,2026-02-01,upt,23623,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2026-02-01,upt,4901400,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2026-02-01,upt,110579,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2026-01-01,upt,4954049,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2026-01-01,upt,112949,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2026-01-01,upt,24725,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-12-01,upt,4725021,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-12-01,upt,30442,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-12-01,upt,112572,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-11-01,upt,4739465,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-11-01,upt,30809,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-11-01,upt,112329,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-10-01,upt,33708,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-10-01,upt,136094,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-10-01,upt,5751896,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-09-01,upt,5426524,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-09-01,upt,127944,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-09-01,upt,34817,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-08-01,upt,124200,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-08-01,upt,36265,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-08-01,upt,5291322,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-07-01,upt,120063,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-07-01,upt,5068920,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-07-01,upt,31173,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-06-01,upt,119056,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-06-01,upt,30487,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-06-01,upt,5024361,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-05-01,upt,33011,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-05-01,upt,5021713,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-05-01,upt,117606,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-04-01,upt,128763,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-04-01,upt,5083477,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-04-01,upt,32159,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-03-01,upt,4846239,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-03-01,upt,32032,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-03-01,upt,119980,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-02-01,upt,4333673,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-02-01,upt,105742,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-02-01,upt,24396,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-01-01,upt,25343,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-01-01,upt,4463345,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2025-01-01,upt,108591,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-12-01,upt,4154021,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-12-01,upt,103153,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-12-01,upt,32087,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-11-01,upt,4232312,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-11-01,upt,108237,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-11-01,upt,32738,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-10-01,upt,5178577,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-10-01,upt,37692,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-10-01,upt,132569,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-09-01,upt,117360,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-09-01,upt,40346,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-09-01,upt,4927208,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-08-01,upt,4811857,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-08-01,upt,39978,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-08-01,upt,111411,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-07-01,upt,38272,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-07-01,upt,104832,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-07-01,upt,4516085,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-06-01,upt,4421768,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-06-01,upt,102617,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-06-01,upt,37956,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-05-01,upt,109401,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-05-01,upt,4767259,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-05-01,upt,40968,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-04-01,upt,36050,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-04-01,upt,102316,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-04-01,upt,4538901,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-03-01,upt,35046,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-03-01,upt,102784,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-03-01,upt,4479626,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-02-01,upt,4211327,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-02-01,upt,96688,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-02-01,upt,29772,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-01-01,upt,4133086,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-01-01,upt,94901,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2024-01-01,upt,29593,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-12-01,upt,3919728,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-12-01,upt,92846,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-12-01,upt,33538,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-11-01,upt,38834,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-11-01,upt,4311590,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-11-01,upt,105929,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-10-01,upt,117645,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-10-01,upt,38358,MG,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-10-01,upt,4807188,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-09-01,upt,117183,YR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
bart,Bay Area Rapid Transit,90003,2023-09-01,upt,4550822,HR,trips,NTD Socrata API,https://data.transportation.gov/resource/8bui-9xvu.csv?$where=ntd_id in('90003')&$limit=50000&$order=date DESC,2026-05-01T01:12:49Z,False
